metric,coverage_pct,selected_k,incorrect_count,correct_count,precision_incorrect_pct,recall_incorrect_pct
agreement_ratio,10,50,45,5,90.0,32.1
agreement_ratio,20,100,79,21,79.0,56.4
agreement_ratio,30,150,101,49,67.3,72.1
agreement_ratio,40,200,117,83,58.5,83.6
agreement_ratio,50,250,132,118,52.8,94.3
entropy_freq,10,50,40,10,80.0,28.6
entropy_freq,20,100,78,22,78.0,55.7
entropy_freq,30,150,100,50,66.7,71.4
entropy_freq,40,200,117,83,58.5,83.6
entropy_freq,50,250,132,118,52.8,94.3
entropy_weighted,10,50,38,12,76.0,27.1
entropy_weighted,20,100,77,23,77.0,55.0
entropy_weighted,30,150,103,47,68.7,73.6
entropy_weighted,40,200,118,82,59.0,84.3
entropy_weighted,50,250,131,119,52.4,93.6
prm_margin,10,50,36,14,72.0,25.7
prm_margin,20,100,68,32,68.0,48.6
prm_margin,30,150,89,61,59.3,63.6
prm_margin,40,200,93,107,46.5,66.4
prm_margin,50,250,99,151,39.6,70.7
prm_top_frac,10,50,26,24,52.0,18.6
prm_top_frac,20,100,59,41,59.0,42.1
prm_top_frac,30,150,85,65,56.7,60.7
prm_top_frac,40,200,101,99,50.5,72.1
prm_top_frac,50,250,119,131,47.6,85.0
consensus_support,10,50,40,10,80.0,28.6
consensus_support,20,100,82,18,82.0,58.6
consensus_support,30,150,105,45,70.0,75.0
consensus_support,40,200,127,73,63.5,90.7
consensus_support,50,250,133,117,53.2,95.0
prm_std,10,50,21,29,42.0,15.0
prm_std,20,100,56,44,56.0,40.0
prm_std,30,150,81,69,54.0,57.9
prm_std,40,200,99,101,49.5,70.7
prm_std,50,250,117,133,46.8,83.6
prm_mean,10,50,30,20,60.0,21.4
prm_mean,20,100,57,43,57.0,40.7
prm_mean,30,150,86,64,57.3,61.4
prm_mean,40,200,102,98,51.0,72.9
prm_mean,50,250,117,133,46.8,83.6
